 Mn Mw
109 151.39764332830373 152.86333754568096
110 151.4289940395454 152.90805229185318
111 151.4634985642526 152.95711700839408
112 151.50129950357902 153.01207572744957
113 151.53411597846946 153.0599044366114
114 151.56992000103443 153.11129725631272
115 151.6072514152758 153.16498601954765
116 151.64160447320455 153.2149557411176
117 151.6700948425959 153.25652927779316
118 151.70273282685696 153.3036695485315
119 151.74091925232253 153.35918981960558
120 151.77424988295923 153.40730969283658
121 151.8108933037149 153.46004017546133
122 151.84287736535663 153.5061788640531
123 151.87819596634958 153.55828576471
124 151.91345075879107 153.60967601168238
125 151.94589432622544 153.65668692392643
126 151.98206489229167 153.70915974514025
127 152.0130189671054 153.75335602357453
128 152.04837632153516 153.80408666218997
129 152.08090661369178 153.85084014304636
130 152.11296849873057 153.89861309314108
131 152.14599168463195 153.94708243630373
132 152.17810732385615 153.99342433095902
133 152.21324091564304 154.0437893422741
134 152.25260745567746 154.10158381498994
135 152.28496461780932 154.1486177724755
136 152.31467650299564 154.19117231261
137 152.34953890731825 154.24189506438344
138 152.3846974502132 154.29284159980003
139 152.42206981859005 154.34725470081884
140 152.4573988201525 154.39830671003915
141 152.49404990525088 154.4499278214134
142 152.53341470639987 154.5068334716108
143 152.57125106077814 154.56350617876498
144 152.60232737468812 154.60936649641272
145 152.6403408066855 154.66520867702536
146 152.67857946634544 154.7208996805027
147 152.71307076832562 154.7706953028187
148 152.74354778536568 154.815243481757
149 152.77969052104763 154.86816853081635
150 152.81707246443105 154.92195001746973
151 152.85529391123498 154.9772028169684
152 152.89357641825822 155.03195561081662
153 152.92512420159125 155.07792536086666
154 152.96160280306034 155.13040493586934
155 153.00123996410724 155.18891981938347
156 153.0327819649418 155.23449211957237
157 153.06825646479652 155.28553930393673
158 153.1002257625447 155.33195556233676
159 153.1377060332753 155.38652910523336
160 153.17710878572043 155.44372184659497
161 153.21532328420378 155.49851807550044
162 153.25258337261926 155.55194934644726
163 153.2911176662999 155.607977902393
164 153.32482890940528 155.65650796050528
165 153.3648740682148 155.71392943122538
166 153.40628679200066 155.77338906716093
167 153.4421098146095 155.8261904408986
168 153.4794370043996 155.88013087743005
169 153.51509030312897 155.93243257026558
170 153.55023304569028 155.98368193305043
171 153.58634813770655 156.03566320675588
172 153.62422517060676 156.09091974121162
173 153.65893194409435 156.14056574582716
174 153.6943682015886 156.1912065291152
175 153.7348985372684 156.249511976298
176 153.77213615696 156.30351778421576
177 153.81450343534527 156.36367551219425
178 153.8552696446669 156.4219468696506
179 153.89389400745102 156.4770377918376
180 153.93018269830037 156.52933505652015
181 153.9671452429949 156.58090624893762
182 154.00548065725093 156.63560662973273
183 154.0443323513247 156.6909037642341
184 154.08458842805388 156.75031916140293
185 154.124203290054 156.8062980986721
186 154.16259740122413 156.86159930747812
187 154.20434753577706 156.9226317578475
188 154.2451820514761 156.98074251427866
189 154.28430545822678 157.03720749514287
190 154.32150257305307 157.09236187340622
191 154.3633965225832 157.15320932589012
192 154.40453911887442 157.21180638831345
193 154.44770340112234 157.27418590280456
194 154.48676160848464 157.3317676494612
195 154.53095154945316 157.39550469324143
196 154.56888614272188 157.44943876541888
197 154.60831675796234 157.50631392211335
198 154.64687714615286 157.56208473121532
199 154.67962009619558 157.60815184750183
200 154.71622961200165 157.6610978576785
